size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,12099
50,RANDOM,BubbleSortPassPerItem,13116
50,RANDOM,BubbleSortPassPerItem,13425
50,RANDOM,BubbleSortPassPerItem,12608
50,RANDOM,BubbleSortPassPerItem,12626
50,RANDOM,BubbleSortPassPerItem,13043
50,RANDOM,BubbleSortPassPerItem,12938
50,RANDOM,BubbleSortPassPerItem,12805
50,RANDOM,BubbleSortPassPerItem,13410
50,RANDOM,BubbleSortPassPerItem,12552
50,RANDOM,BubbleSortPassPerItem,12578
50,RANDOM,BubbleSortPassPerItem,13691
50,RANDOM,BubbleSortPassPerItem,13550
50,RANDOM,BubbleSortPassPerItem,13118
50,RANDOM,BubbleSortPassPerItem,12836
50,RANDOM,BubbleSortPassPerItem,13471
50,RANDOM,BubbleSortPassPerItem,13297
