size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,27356
50,RANDOM,BubbleSortPassPerItem,28356
50,RANDOM,BubbleSortPassPerItem,28548
50,RANDOM,BubbleSortPassPerItem,28764
50,RANDOM,BubbleSortPassPerItem,28647
50,RANDOM,BubbleSortPassPerItem,29065
50,RANDOM,BubbleSortPassPerItem,28679
50,RANDOM,BubbleSortPassPerItem,29155
50,RANDOM,BubbleSortPassPerItem,28399
50,RANDOM,BubbleSortPassPerItem,28762
50,RANDOM,BubbleSortPassPerItem,29084
50,RANDOM,BubbleSortPassPerItem,28903
50,RANDOM,BubbleSortPassPerItem,27744
50,RANDOM,BubbleSortPassPerItem,26377
50,RANDOM,BubbleSortPassPerItem,28128
50,RANDOM,BubbleSortPassPerItem,28499
50,RANDOM,BubbleSortPassPerItem,28023
50,RANDOM,BubbleSortPassPerItem,28948
50,RANDOM,BubbleSortPassPerItem,28790
50,RANDOM,BubbleSortPassPerItem,29260
50,RANDOM,BubbleSortPassPerItem,29042
50,RANDOM,BubbleSortPassPerItem,28159
50,RANDOM,BubbleSortPassPerItem,27884
50,RANDOM,BubbleSortPassPerItem,29017
50,RANDOM,BubbleSortPassPerItem,28723
50,RANDOM,BubbleSortPassPerItem,28230
